Frognerseteren	Lillevann
Lillevann	Skogen
Skogen	Voksenlia
Voksenlia	Holmenkollen
Holmenkollen	Besserud
Besserud	Midtstuen
Midtstuen	Skaadalen
Skaadalen	Vettakollen
Vettakollen	Gulleraasen
Gulleraasen	Graakammen
Graakammen	Slemdal
Slemdal	Ris
Ris	Gaustad
Gaustad	Vinderen
Vinderen	Steinerud
Steinerud	Majorstuen
Majorstuen	Nationaltheatret
Nationaltheatret	Stortinget
Stortinget	Jernbanetorget
Jernbanetorget	Gronland
Gronland	Toyen
Toyen	Ensjo
Ensjo	Helsfyr
Helsfyr	Brynseng
Brynseng	Hellerud
Hellerud	Tveita
Tveita	Haugerud
Haugerud	Trosterud
Trosterud	Lindeberg
Lindeberg	Furuset
Furuset	Ellingsrudaasen
Gjonnes	Bekkestua
Bekkestua	Ringstabekk
Ringstabekk	Jar
Jar	Bjornsletta
Bjornsletta	AAsjordet
AAsjordet	Ullernaasen
Ullernaasen	Montebello
Montebello	Smestad
Smestad	Borgen
Borgen	Majorstuen
Majorstuen	Nationaltheatret
Nationaltheatret	Stortinget
Stortinget	Jernbanetorget
Jernbanetorget	Gronland
Gronland	Toyen
Toyen	Ensjo
Ensjo	Helsfyr
Helsfyr	Brynseng
Brynseng	Hellerud
Hellerud	Tveita
Tveita	Haugerud
Haugerud	Trosterud
Trosterud	Lindeberg
Lindeberg	Furuset
Furuset	Ellingsrudaasen
Mortensrud	Skullerud
Skullerud	Bogerud
Bogerud	Boler
Boler	Ulsrud
Ulsrud	Oppsal
Oppsal	Skoyenaasen
Skoyenaasen	Godlia
Godlia	Hellerud
Hellerud	Brynseng
Brynseng	Helsfyr
Helsfyr	Ensjo
Ensjo	Toyen
Toyen	Gronland
Gronland	Jernbanetorget
Jernbanetorget	Stortinget
Stortinget	Nationaltheatret
Nationaltheatret	Majorstuen
Majorstuen	Blindern
Blindern	Forskningsparken
Forskningsparken	Ullevaal-stadion
Ullevaal-stadion	Nydalen
Nydalen	Storo
Bergkrystallen	Munkelia
Munkelia	Lambertseter
Lambertseter	Karlsrud
Karlsrud	Brattlikollen
Brattlikollen	Ryen
Ryen	Manglerud
Manglerud	Hoyenhall
Hoyenhall	Brynseng
Brynseng	Helsfyr
Helsfyr	Ensjo
Ensjo	Toyen
Toyen	Gronland
Gronland	Jernbanetorget
Jernbanetorget	Stortinget
Stortinget	Nationaltheatret
Nationaltheatret	Majorstuen
Majorstuen	Blindern
Blindern	Forskningsparken
Forskningsparken	Ullevaal-stadion
Ullevaal-stadion	Nydalen
Nydalen	Storo
Storo	Sinsen
Sinsen	Carl-Berners-plass
Carl-Berners-plass	Ringen
Osteraas	Lijordet
Lijordet	Eiksmarka
Eiksmarka	Ekraveien
Ekraveien	Roa
Roa	Hovseter
Hovseter	Holmen
Holmen	Makrellbekken
Makrellbekken	Smestad
Smestad	Borgen
Borgen	Majorstuen
Majorstuen	Nationaltheatret
Nationaltheatret	Stortinget
Stortinget	Jernbanetorget
Jernbanetorget	Gronland
Gronland	Toyen
Toyen	Carl-Berners-plass
Carl-Berners-plass	Hasle
Hasle	Okern
Okern	Rislokka
Rislokka	Vollebekk
Vollebekk	Linderud
Linderud	Veitvet
Veitvet	Rodtvet
Rodtvet	Kalbakken
Kalbakken	Ammerud
Ammerud	Grorud
Grorud	Romsaas
Romsaas	Rommen
Rommen	Stovner
Stovner	Vestli
Ringen	Ullevaal-stadion
Ullevaal-stadion	Nydalen
Nydalen	Storo
Storo	Sinsen
Sinsen	Carl-Berners-plass
Carl-Berners-plass	Toyen
Toyen	Gronland
Gronland	Jernbanetorget
Jernbanetorget	Stortinget
Stortinget	Nationaltheatret
Nationaltheatret	Majorstuen
Majorstuen	Blindern
Blindern	Forskningsparken
Forskningsparken	Ullevaal-stadion
Ullevaal-stadion	Berg
Berg	Taasen
Taasen	Osthorn
Osthorn	Holstein
Holstein	Kringsjaa
Kringsjaa	Sognsvann
Kjelsaas	Kjelsaasalleen
Kjelsaasalleen	Grefsen-stadion
Grefsen-stadion	Grefsenplataaet
Grefsenplataaet	Glads-vei
Glads-vei	Sanatoriet
Sanatoriet	Disen
Disen	Storo
Storo	Grefsenveien
Grefsenveien	Sandaker-senter
Sandaker-senter	Torshov
Torshov	Biermanns-gate
Biermanns-gate	Birkelunden
Birkelunden	Schous-plass
Schous-plass	Nybrua
Nybrua	Hausmanns-gate
Hausmanns-gate	Brugata
Brugata	Jernbanetorget
Jernbanetorget	Stortorvet
Stortorvet	Tinghuset
Tinghuset	Tullinlokka
Tullinlokka	Holbergs-plass
Holbergs-plass	Hoyskolesenteret
Hoyskolesenteret	Welhavens-gate
Welhavens-gate	Homansby
Homansby	Uranienborg
Majorstuen	Frogner-stadion
Frogner-stadion	Vigelandsparken
Vigelandsparken	Frogner-plass
Frogner-plass	Elisenberg
Elisenberg	Lille-Frogner-alle
Lille-Frogner-alle	Niels-Juels-gate
